name,domain,industry,annual_revenue,employee_count,city,state,linkedin_url,description,hubspot_id,owner,enrichment_timestamp,cs_company_id,cs_industry,cs_employee_count,cs_founded,cs_specialties,hiring_is_active,hiring_relevant_count,hiring_relevant_roles,hiring_total_open,hiring_score,leadership_has_hires,leadership_hire_count,leadership_hires_detail,leadership_score,funding_has_recent,funding_count,funding_latest_detail,funding_score,strategic_has_signal,strategic_primary_priority,strategic_details,strategic_score,revenue_score,revenue_tier,connection_degree,connection_score
SPBD Microfinance Network,,Financial Services,0.0,56,,,https://www.linkedin.com/sales/company/2637829,South Pacific Business Development (SPBD) Founder and President Gregory F. Casagran,,,2026-04-20T16:25:21.048642,,,,,,False,0,,0,0,False,0,,0,False,0,,0,False,,,0,5,unknown,3,3
First Northern Bank and Trust Co.,,Banking,0.0,92,,,https://www.linkedin.com/sales/company/2751415,"Chartered in 1907, First Northern Bank and Trust remains a local, independent, family-o",,,2026-04-20T16:25:40.490008,,,,,,False,0,,0,0,False,0,,0,False,0,,0,False,,,0,5,unknown,3,3
"NBT Insurance Agency, LLC",,Insurance,0.0,83,,,https://www.linkedin.com/sales/company/11558201,"The same insurance policies don’t work for every business. That’s why, at NBT Insurance",,,2026-04-20T16:25:59.422793,,,,,,False,0,,0,0,False,0,,0,False,0,,0,False,,,0,5,unknown,3,3
"Highstreet Insurance & Financial Services, Upstate NY",,Insurance,0.0,64,,,https://www.linkedin.com/sales/company/1017261,Gates-Cole Associates is an independent insurance agency representing over 45 regiona,,,2026-04-20T16:26:18.549638,,,,,,False,0,,0,0,False,0,,0,False,0,,0,False,,,0,5,unknown,3,3
Berkley Custom Insurance Managers (a Berkley Company),,Insurance,0.0,65,,,https://www.linkedin.com/sales/company/73775500,"From middle market to Fortune 500 companies, our Excess Casualty team is committed",,,2026-04-20T16:26:37.401270,,,,,,False,0,,0,0,False,0,,0,False,0,,0,False,,,0,5,unknown,3,3
