name,domain,industry,annual_revenue,employee_count,city,state,linkedin_url,description,hubspot_id,owner,enrichment_timestamp,cs_company_id,cs_industry,cs_employee_count,cs_founded,cs_specialties,hiring_is_active,hiring_relevant_count,hiring_relevant_roles,hiring_total_open,hiring_score,leadership_has_hires,leadership_hire_count,leadership_hires_detail,leadership_score,funding_has_recent,funding_count,funding_latest_detail,funding_score,strategic_has_signal,strategic_primary_priority,strategic_details,strategic_score,revenue_score,revenue_tier,connection_degree,connection_score,lead_score,tier,tier_emoji,is_urgent,urgency_reasons,score_breakdown
SPBD Microfinance Network,,Financial Services,0.0,56.0,,,https://www.linkedin.com/sales/company/2637829,South Pacific Business Development (SPBD) Founder and President Gregory F. Casagran,,,2026-04-20T16:26:22.087325,,,,,,False,0.0,,0.0,0.0,False,0.0,,0.0,False,0.0,,0.0,False,,,0.0,5.0,unknown,3.0,3.0,8.0,COLD,🟢,False,,H:0.0/25 | F:0.0/20 | L:0.0/20 | R:5.0/15 | C:3.0/10 | S:0.0/10 | = 8.0/100
First Northern Bank and Trust Co.,,Banking,0.0,92.0,,,https://www.linkedin.com/sales/company/2751415,"Chartered in 1907, First Northern Bank and Trust remains a local, independent, family-o",,,2026-04-20T16:26:40.829066,,,,,,False,0.0,,0.0,0.0,False,0.0,,0.0,False,0.0,,0.0,False,,,0.0,5.0,unknown,3.0,3.0,8.0,COLD,🟢,False,,H:0.0/25 | F:0.0/20 | L:0.0/20 | R:5.0/15 | C:3.0/10 | S:0.0/10 | = 8.0/100
"NBT Insurance Agency, LLC",,Insurance,0.0,83.0,,,https://www.linkedin.com/sales/company/11558201,"The same insurance policies don’t work for every business. That’s why, at NBT Insurance",,,2026-04-20T16:26:59.077644,,,,,,False,0.0,,0.0,0.0,False,0.0,,0.0,False,0.0,,0.0,False,,,0.0,5.0,unknown,3.0,3.0,8.0,COLD,🟢,False,,H:0.0/25 | F:0.0/20 | L:0.0/20 | R:5.0/15 | C:3.0/10 | S:0.0/10 | = 8.0/100
"Highstreet Insurance & Financial Services, Upstate NY",,Insurance,0.0,64.0,,,https://www.linkedin.com/sales/company/1017261,Gates-Cole Associates is an independent insurance agency representing over 45 regiona,,,2026-04-20T16:27:18.929616,,,,,,False,0.0,,0.0,0.0,False,0.0,,0.0,False,0.0,,0.0,False,,,0.0,5.0,unknown,3.0,3.0,8.0,COLD,🟢,False,,H:0.0/25 | F:0.0/20 | L:0.0/20 | R:5.0/15 | C:3.0/10 | S:0.0/10 | = 8.0/100
Berkley Custom Insurance Managers (a Berkley Company),,Insurance,0.0,65.0,,,https://www.linkedin.com/sales/company/73775500,"From middle market to Fortune 500 companies, our Excess Casualty team is committed",,,2026-04-20T16:27:38.105244,,,,,,False,0.0,,0.0,0.0,False,0.0,,0.0,False,0.0,,0.0,False,,,0.0,5.0,unknown,3.0,3.0,8.0,COLD,🟢,False,,H:0.0/25 | F:0.0/20 | L:0.0/20 | R:5.0/15 | C:3.0/10 | S:0.0/10 | = 8.0/100
